ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
315	430628	330916	4573802	NA	NA	NA	1.019	1.155	0.372	0.171	1.448	1.443
317	430629	331901	4573816	NA	NA	NA	1.227	0.97	0.251	0.138	1.877	1.301
319	430631	333927	4573836	42.736	20.47930267	37.654	3.03	1.766	0.198	0.092	1.46	0.929
312	430632	335937	4573781	17.998	8.048474088	15.133	3.98	1.55	0.261	0.095	1.727	-0.904
314	430638	343922	4573798	31.01	12.46568312	5.757	5.379	3.579	0.126	0.166	3.472	1.921
304	430641	321815	4572787	NA	NA	NA	1.364	1.116	0.097	0.141	2.084	1.604
308	430642	322866	4572838	29.862	16.03577427	38.449	2.656	2.87	0.445	0.377	1.051	1.052
299	430643	324917	4572755	12.651	8.557652658	10.075	0.724	0.305	0.505	0.509	0.381	0.02
302	430644	325925	4572776	26.91	18.3105592	27.489	1.536	1.234	0.491	0.124	0.809	0.595
303	430646	327878	4572782	40.893	19.06367923	39.489	4.179	3.951	0.164	0.225	1.739	1.302
309	430647	328936	4572846	4.099	4.074407614	11.315	0.814	1.636	0.212	0.212	0.391	0.701
306	430651	333903	4572804	39.178	18.92623705	35.623	2.773	1.983	0.39	0.271	1.111	0.766
301	430652	334974	4572771	25.789	6.390272943	23.121	2.382	3.708	0.438	0.143	-0.373	1.619
305	430653	335888	4572800	NA	NA	NA	2.167	1.916	0.381	0.211	2.847	2.165
297	430656	342912	4572736	NA	NA	NA	2.775	1.619	0.459	0.284	1.826	0.968
294	430657	326964	4571864	NA	NA	NA	1.241	0.905	0.193	0.171	2.009	1.191
295	430658	327960	4571865	26.372	13.76580737	31.105	0.849	1.087	0.364	0.323	0.442	0.506
291	430659	329867	4571753	NA	NA	NA	1.05	1.227	0.214	0.089	1.366	1.133
292	430663	335961	4571834	4.605	5.102844345	13.886	0.662	0.553	0.864	0.394	0.409	0.308
277	430669	320914	4570706	36.933	12.94178745	19.441	6.244	4.149	0.295	0.135	2.216	0.992
284	430672	326918	4570809	25.8	15.14214376	23.602	0.52	0.525	0.486	0.393	0.288	0.233
288	430673	327897	4570854	42.15	9.948109883	30.134	0.987	1.395	0.163	0.345	-0.558	0.245
279	430676	331884	4570752	11.341	7.766823446	23.607	0.739	0.845	0.483	0.212	0.324	0.4
280	430679	334896	4570772	53.034	20.63275496	41.571	3.055	2.104	0.205	0.104	1.2	0.787
285	430681	338924	4570809	39.244	25.55092556	26.96	2.776	2.723	0.353	0.179	1.299	0.051
278	430682	340039	4570743	29.214	NA	26.623	0.948	0.687	0.47	0.278	0.687	0.397
